Code,Long,Lat,MDS1,MDS2,jCartx,jCarty
GSA7_71,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-993.884131554127,-486.962133329677
GSA7_72,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-987.316283184834,-488.640453534144
GSA7_73,3.74940162,42.93176014,-989.284388209306,-488.738424717578,-983.409358648941,-487.438946786466
GSA9_1,10.09333566,43.46847294,-908.23357138579,187.479858563305,-908.210944658529,187.089059229032
GSA9_2,10.09333566,43.46847294,-908.23357138579,187.479858563305,-902.542665151518,189.037812271179
GSA9_3,10.09333566,43.46847294,-908.23357138579,187.479858563305,-900.006030434568,186.763262776495
GSA9_4,10.09333566,43.46847294,-908.23357138579,187.479858563305,-902.442708607402,188.056234277622
GSA9_5,10.09333566,43.46847294,-908.23357138579,187.479858563305,-915.347347041045,189.184120984958
GSA9_6,10.09333566,43.46847294,-908.23357138579,187.479858563305,-907.99652689622,189.382008313225
GSA9_7,10.09333566,43.46847294,-908.23357138579,187.479858563305,-907.966515119572,187.016728422628
GSA9_8,10.09333566,43.46847294,-908.23357138579,187.479858563305,-906.229419758555,185.280490746931
GSA9_9,10.09333566,43.46847294,-908.23357138579,187.479858563305,-901.111652552534,187.879907867522
GSA9_10,10.09333566,43.46847294,-908.23357138579,187.479858563305,-901.182162005093,187.556964663998
GSA9_11,10.09333566,43.46847294,-908.23357138579,187.479858563305,-907.831348667119,185.27162883787
GSA9_12,10.09333566,43.46847294,-908.23357138579,187.479858563305,-914.362017156382,186.930165181519
GSA9_13,10.09333566,43.46847294,-908.23357138579,187.479858563305,-916.09531409872,186.212899210141
GSA9_14,10.09333566,43.46847294,-908.23357138579,187.479858563305,-914.875276589405,186.67078217438
GSA9_15,10.09333566,43.46847294,-908.23357138579,187.479858563305,-909.789115747448,187.648898050771
GSA9_16,10.09333566,43.46847294,-908.23357138579,187.479858563305,-914.506003620673,188.450190360681
GSA9_17,10.09333566,43.46847294,-908.23357138579,187.479858563305,-900.047684941639,189.486732069613
GSA9_18,10.09333566,43.46847294,-908.23357138579,187.479858563305,-901.669990272459,189.184946204559
GSA9_19,10.09333566,43.46847294,-908.23357138579,187.479858563305,-913.689597938035,188.015745085315
GSA9_20,10.09333566,43.46847294,-908.23357138579,187.479858563305,-906.200278276403,189.189162571193
GSA9_21,10.09333566,43.46847294,-908.23357138579,187.479858563305,-908.53450581861,189.476397912786
GSA9_22,10.09333566,43.46847294,-908.23357138579,187.479858563305,-901.181623444345,189.586255308823
GSA9_23,10.09333566,43.46847294,-908.23357138579,187.479858563305,-913.771935313393,187.617646657885
GSA9_24,10.09333566,43.46847294,-908.23357138579,187.479858563305,-902.857936086703,187.796796680824
GSA9_25,10.09333566,43.46847294,-908.23357138579,187.479858563305,-914.903789275151,186.854647517414
GSA9_26,10.09333566,43.46847294,-908.23357138579,187.479858563305,-911.274811497901,186.240203947039
GSA9_27,10.09333566,43.46847294,-908.23357138579,187.479858563305,-903.874664763,186.778198126541
GSA9_28,10.09333566,43.46847294,-908.23357138579,187.479858563305,-903.935629032564,186.366882088245
GSA9_29,10.09333566,43.46847294,-908.23357138579,187.479858563305,-906.856830704783,187.881333929882
GSA9_30,10.09333566,43.46847294,-908.23357138579,187.479858563305,-910.426566893991,188.719096335233
GSA9_31,10.09333566,43.46847294,-908.23357138579,187.479858563305,-899.074289439258,187.620056608156
GSA9_32,10.09333566,43.46847294,-908.23357138579,187.479858563305,-910.997037340712,188.050884676562
GSA9_33,10.09333566,43.46847294,-908.23357138579,187.479858563305,-902.96091645715,188.035753384442
GSA9_34,10.09333566,43.46847294,-908.23357138579,187.479858563305,-900.081780971039,186.716944726021
GSA9_35,10.09333566,43.46847294,-908.23357138579,187.479858563305,-915.717132776056,189.775314434455
GSA9_36,10.09333566,43.46847294,-908.23357138579,187.479858563305,-899.776590253797,187.563912706287
GSA10_1,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-282.000241477305,-130.558362919432
GSA10_2,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-272.951092144923,-131.378152348441
GSA10_3,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-280.77811092742,-132.374459189889
GSA10_4,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-286.786714756193,-132.538955407557
GSA10_5,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-280.580595688039,-132.953626567465
GSA10_6,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-271.227148719953,-130.698943097484
GSA10_7,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-273.961348178873,-134.360660245236
GSA10_8,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-281.362961651275,-130.229390029576
GSA10_9,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-285.074971322419,-134.131739838016
GSA10_10,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-274.015842128063,-130.188809308004
GSA10_11,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-284.907191313507,-133.685271965307
GSA10_12,15.78478436,39.65055684,-279.82851249546,-132.076390646365,-287.824381733762,-130.956762637165
